job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,python,sql,aws,spark,r,azure,tableau,java,snowflake,hadoop,power bi,job_skills_clean
Data Engineer,United States,True,Full-time,2023-03-31,100000.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql', 'gcp']"
Data Scientist,United States,True,Full-time,2023-05-05,170000.0,False,True,1,0,0,0,0,1,0,0,0,0,0,"['python', 'azure', 'pytorch', 'tensorflow', 'opencv', 'datarobot']"
Data Engineer,United States,False,Full-time,2023-01-17,90000.0,False,False,0,1,0,0,0,1,0,0,0,0,0,"['sql', 'go', 'sql server', 'azure', 'databricks', 'pyspark', 'flow', 'github']"
Data Scientist,United States,False,Full-time,2023-07-17,173500.0,False,True,1,1,0,0,1,0,0,1,0,1,0,"['java', 'scala', 'python', 'r', 'kotlin', 'sql', 'javascript', 'html', 'matlab', 'shell', 'hadoop']"
Data Scientist,United States,False,Full-time,2023-11-04,68500.0,False,True,0,1,0,0,0,0,1,0,0,0,0,"['sql', 'spring', 'excel', 'tableau']"
Data Scientist,Estonia,True,Full-time,2023-07-27,120000.0,False,False,1,0,0,0,0,0,0,0,0,0,0,['python']
Senior Data Engineer,United States,False,Full-time,2023-12-31,140000.0,True,False,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql']"
Data Engineer,United States,True,Full-time,2023-07-13,150000.0,True,False,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql', 'airflow', 'unity']"
Data Scientist,United States,False,Full-time,2023-08-27,174000.0,False,True,1,1,0,0,1,0,0,0,0,0,0,"['r', 'sql', 'python', 'windows', 'linux']"
Data Scientist,United States,True,Full-time,2023-04-30,120000.0,False,True,1,0,0,0,0,0,0,0,0,0,0,"['python', 'gcp']"
Data Engineer,United States,False,Full-time,2023-08-10,150000.0,False,True,1,1,1,1,0,0,0,0,1,0,0,"['python', 'sql', 'aws', 'redshift', 'snowflake', 'spark']"
Senior Data Scientist,United States,True,Full-time,2023-04-10,187500.0,False,True,1,0,0,0,1,0,0,0,0,0,0,"['python', 'r', 'numpy', 'scikit-learn', 'git', 'slack', 'zoom']"
Data Engineer,Sudan,False,Full-time,2023-11-03,102096.0,False,False,1,0,0,1,0,0,0,0,0,1,0,"['python', 'shell', 'hadoop', 'spark', 'unix']"
Data Engineer,United States,False,Full-time,2023-06-15,145000.0,False,True,1,0,1,0,0,0,0,0,0,0,0,"['python', 'nosql', 'aws', 'redshift', 'flask', 'django', 'git', 'jenkins']"
Senior Data Engineer,Israel,False,Full-time,2023-06-30,45000.0,False,False,0,0,0,1,0,0,0,0,0,0,0,"['scala', 'go', 'dynamodb', 'redis', 'kafka', 'spark', 'node.js']"
Data Engineer,United States,False,Full-time,2023-12-23,142500.0,False,True,0,1,1,1,0,1,0,0,0,1,0,"['sql', 'mysql', 'aws', 'azure', 'hadoop', 'spark', 'ssis']"
Data Scientist,United States,False,Full-time,2023-05-25,157500.0,False,False,1,0,0,0,1,0,0,0,0,0,0,"['r', 'python', 'perl']"
Data Engineer,United States,False,Full-time,2023-03-15,150000.0,True,False,1,0,1,0,0,0,0,0,0,0,0,"['c', 'python', 'aws']"
Data Scientist,India,False,Full-time,2023-12-12,114516.0,False,False,1,0,0,0,1,0,1,0,0,0,0,"['python', 'r', 'c++', 'tensorflow', 'tableau']"
Senior Data Engineer,Israel,False,Full-time,2023-06-21,147500.0,False,False,1,1,1,0,0,1,1,0,0,0,0,"['python', 'sql', 'aws', 'gcp', 'azure', 'looker', 'tableau', 'kubernetes']"
Data Engineer,Sudan,False,Full-time,2023-07-09,157500.0,True,True,0,1,0,0,0,1,1,0,1,0,0,"['sql', 'c', 'go', 'snowflake', 'redshift', 'azure', 'looker', 'tableau', 'flow']"
Data Engineer,Sudan,True,Contractor,2023-04-13,118000.0,True,False,1,1,1,0,1,1,0,0,0,0,0,"['sql', 'python', 'r', 'bigquery', 'aws', 'gcp', 'azure', 'redshift', 'airflow', 'pandas', 'pyspark', 'linux', 'github']"
Data Engineer,United States,False,Full-time,2023-01-03,105000.0,False,False,0,0,0,0,0,0,1,0,0,0,1,"['bigquery', 'looker', 'tableau', 'power bi']"
Data Engineer,Sudan,True,Full-time,2023-06-23,110000.0,False,True,1,1,0,1,0,1,0,0,0,0,0,"['go', 'sql', 'python', 'postgresql', 'azure', 'spark', 'pyspark']"
Data Engineer,United States,False,Full-time,2023-10-12,180000.0,False,False,1,1,1,0,0,0,0,1,0,0,0,"['sql', 'python', 'scala', 'java', 'nosql', 'aws', 'pyspark', 'kafka', 'airflow']"
Data Scientist,United States,False,Full-time,2023-06-01,136400.0,False,False,1,1,1,1,1,1,1,0,0,1,1,"['python', 'r', 'scala', 'sql', 'azure', 'databricks', 'aws', 'spark', 'matplotlib', 'ggplot2', 'hadoop', 'word', 'power bi', 'tableau', 'spreadsheet', 'excel', 'powerpoint']"
Data Scientist,United States,True,Full-time,2023-06-20,127500.0,False,True,1,0,0,0,0,0,0,1,0,0,0,"['python', 'java', 'matlab']"
Data Engineer,Croatia,False,Full-time,2023-07-06,147500.0,True,False,1,1,0,0,0,0,0,1,0,0,0,"['sql', 'scala', 'java', 'python', 'docker']"
Data Engineer,United States,True,Full-time,2023-12-14,150000.0,False,True,1,1,0,0,0,0,0,0,1,0,0,"['sql', 'python', 'snowflake', 'airflow', 'pyspark', 'terraform', 'github']"
Data Engineer,United States,True,Full-time,2023-07-21,110000.0,False,True,0,1,0,0,0,1,0,0,0,0,0,"['sql', 'azure', 'databricks', 'git', 'github']"
Senior Data Engineer,United States,False,Full-time,2023-08-23,121600.0,False,True,0,1,1,0,0,0,0,0,0,0,0,"['sql', 'nosql', 'sql server', 'aws', 'oracle', 'gitlab', 'terraform', 'ansible', 'puppet', 'jenkins', 'jira']"
Data Engineer,United States,True,Full-time,2023-06-27,150000.0,True,True,1,1,1,0,0,0,0,0,0,0,0,"['sql', 'python', 'aws', 'redshift', 'airflow', 'linux', 'git', 'terraform']"
Senior Data Scientist,United States,False,Full-time,2023-07-21,100000.0,False,False,1,1,0,0,1,0,0,0,0,0,0,"['sas', 'sas', 'sql', 'r', 'python']"
Data Scientist,United States,False,Full-time,2023-09-09,220832.0,False,True,1,1,1,1,0,0,0,0,0,0,0,"['sql', 'no-sql', 'python', 'bigquery', 'aws', 'jupyter', 'tensorflow', 'scikit-learn', 'spark', 'excel']"
Senior Data Engineer,United States,False,Full-time,2023-02-03,147500.0,False,True,1,1,1,0,0,0,0,0,1,0,0,"['sql', 'python', 'postgresql', 'aws', 'snowflake', 'gcp', 'kafka', 'airflow', 'flow', 'docker']"
Data Engineer,United States,False,Full-time,2023-08-17,117500.0,False,False,1,1,0,0,0,1,0,0,1,0,1,"['sql', 'python', 'snowflake', 'azure', 'power bi', 'sap', 'git']"
Data Scientist,United States,False,Full-time,2023-05-10,67500.0,False,True,1,0,0,0,1,0,0,0,0,0,0,"['python', 'r', 'pandas', 'docker', 'git']"
Senior Data Engineer,United States,False,Full-time,2023-06-24,122560.0,False,True,1,1,1,0,0,0,0,0,0,0,0,"['shell', 'python', 'sql', 'sql server', 'db2', 'aws', 'redshift', 'oracle', 'windows']"
Senior Data Engineer,United States,False,Full-time,2023-06-01,145000.0,False,False,0,0,1,0,0,1,0,0,0,0,0,"['aws', 'azure', 'gcp']"
Senior Data Engineer,United States,True,Full-time,2023-06-13,125000.0,False,False,1,1,1,0,0,1,1,0,1,0,1,"['sql', 'python', 't-sql', 'snowflake', 'databricks', 'azure', 'aws', 'pyspark', 'tableau', 'power bi']"
Senior Data Scientist,United States,False,Full-time,2023-01-14,155000.0,False,True,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql']"
