job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Senior Data Analyst,United States,False,Full-time,2023-07-01,100000.0,False,True,1,1,0,1,1,0,"['sql', 'sas', 'sas', 'python', 'r', 'tableau', 'jira']"
Data Analyst,United States,False,Full-time,2023-02-28,109159.0,False,True,0,0,0,1,1,0,"['r', 'tableau']"
Data Analyst,United States,False,Full-time,2023-05-15,110000.0,True,True,1,1,1,0,0,0,"['sql', 'python', 'c#', 'powershell', 'sql server', 'word', 'excel', 'outlook']"
Data Analyst,United States,True,Full-time,2023-10-31,73696.0,False,True,1,0,1,1,0,0,"['sql', 'excel', 'tableau']"
Data Analyst,United States,False,Full-time,2023-07-28,254000.0,True,True,0,0,0,0,0,0,['gcp']
Senior Data Analyst,Sweden,False,Full-time,2023-01-25,49566.5,False,False,0,0,0,0,0,0,['azure']
Data Analyst,United States,False,Full-time,2023-02-14,90000.0,False,False,1,1,1,1,0,1,"['sql', 'python', 'tableau', 'power bi', 'excel', 'word', 'powerpoint']"
Data Analyst,United States,False,Full-time,2023-03-20,115000.0,False,True,1,1,0,1,0,0,"['sql', 'python', 'oracle', 'splunk', 'tableau', 'visio']"
Data Analyst,United States,False,Full-time,2023-04-24,66029.5,False,True,1,0,1,0,0,1,"['sql', 'excel', 'power bi']"
Data Analyst,United Kingdom,False,Full-time,2023-05-24,100500.0,False,False,1,0,0,0,0,0,"['sql', 'jupyter']"
Data Analyst,United States,False,Full-time,2023-02-13,90250.0,False,True,0,0,1,0,0,0,"['excel', 'powerpoint']"
Senior Data Analyst,India,False,Full-time,2023-11-29,64800.0,False,False,1,0,0,0,0,0,"['sql', 'visio', 'word', 'powerpoint']"
Senior Data Analyst,United States,False,Full-time,2023-03-18,97400.0,False,False,1,0,0,0,0,0,"['sql', 'jira']"
Data Analyst,United States,False,Full-time,2023-12-19,75000.0,False,False,0,1,0,0,1,0,"['python', 'r']"
Data Analyst,United States,False,Full-time,2023-01-18,142500.0,False,True,0,0,0,0,1,0,"['sas', 'sas', 'matlab', 'r', 'spss']"
Senior Data Analyst,United States,False,Full-time,2023-01-29,75907.0,False,True,0,0,1,0,0,0,['excel']
Data Analyst,United States,False,Full-time,2023-12-19,100000.0,False,True,1,1,0,1,1,1,"['sql', 'python', 'r', 'java', 'c++', 'databricks', 'ibm cloud', 'snowflake', 'spark', 'hadoop', 'numpy', 'pandas', 'tableau', 'power bi', 'terminal', 'git']"
Data Analyst,United States,False,Full-time,2023-02-17,70000.0,False,False,0,1,0,0,1,0,"['python', 'r']"
Data Analyst,United States,False,Full-time,2023-05-15,110000.0,True,True,1,1,1,0,0,0,"['sql', 'python', 'c#', 'powershell', 'sql server', 'word', 'excel', 'outlook']"
Senior Data Analyst,United States,False,Full-time,2023-02-28,125000.0,False,True,0,0,1,0,0,0,"['oracle', 'excel', 'sap', 'flow']"
Data Analyst,United States,False,Full-time,2023-12-16,54000.0,False,False,1,0,1,0,0,0,"['sql', 'excel', 'ms access']"
Senior Data Analyst,United States,False,Full-time,2023-03-13,148500.0,False,True,1,1,0,1,0,0,"['sql', 'python', 'aws', 'jupyter', 'tableau', 'looker']"
Data Analyst,United States,False,Full-time,2023-09-16,90500.0,False,False,0,1,1,1,1,0,"['sas', 'sas', 'python', 'r', 'excel', 'spss', 'tableau', 'cognos']"
